first_author,group,group_start,number_authors,sdi,times_cited,journal,pub_year,velocity,grant_product
True,A,2011,3,0.461924657534247,2,J. REHABIL. MED.,2016,1,Post
True,A,2011,15,0.307153846153846,2,NAT. BIOTECHNOL.,2017,2,Post
True,A,2011,2,0.782202127659574,2,J. POLICY ANAL. MANAGE.,2012,0.333333333333333,Post
True,A,2011,4,0.3815,2,AEROSP. SCI. TECHNOL.,2015,0.666666666666667,Post
True,A,2011,1,0.358363247863248,2,CLIN. J. SPORT MED.,2012,0.333333333333333,Post
True,A,2011,2,0.164,3,J. POLICY ANAL. MANAGE.,2012,0.5,Post
True,A,2011,2,0.208421875,3,UNIVERS. ACCESS INF. SOC.,2015,1,Post
True,A,2011,2,0,3,REFLECT. PRACT.,2016,1.5,Post
True,A,2011,2,0.37658904109589,4,J. APPL. RES. INTELLECT. DISABIL.,2017,4,Post
True,A,2011,4,0.444231292517007,4,COMPUT. APPL. ENG. EDUC.,2015,1.33333333333333,Post
True,A,2011,3,0.169083333333333,4,IEEE TRANS. NEURAL NETW. LEARN. SYST.,2015,1.33333333333333,Post
True,A,2011,1,0.5497,4,NEUROETHICS,2013,0.8,Post
True,A,2011,5,0.343424242424242,4,FUTURES,2015,1.33333333333333,Post
True,A,2011,1,0.263851351351351,5,FUTURES,2015,1.66666666666667,Post
True,A,2011,5,0.31925,5,COGN. NEURODYNAMICS,2012,0.833333333333333,Post
True,A,2011,4,0.292873417721519,5,SUSTAINABILITY,2013,1,Post
True,A,2011,5,0.415179487179487,5,J. SOUND VIBR.,2015,1.66666666666667,Post
True,A,2011,1,0.335117647058824,5,J. RESPONSIBLE INNOV.,2015,1.66666666666667,Post
True,A,2011,1,0.314483146067416,6,EDUC. REV.,2015,2,Post
True,A,2011,1,0.45975,6,HASTINGS CENT. REP.,2015,2,Post
True,A,2011,2,0.289492063492063,6,SUSTAINABILITY,2013,1.2,Post
True,A,2011,4,0.357681818181818,6,ENERGY RES. SOC. SCI.,2015,2,Post
True,A,2011,2,0.690505747126437,7,CURR. DIABETES REP.,2013,1.4,Post
True,A,2011,2,0.254685393258427,7,INT. J. SOC. ROBOT.,2014,1.75,Post
True,A,2011,2,0.367792857142857,7,SUSTAINABILITY,2013,1.4,Post
True,A,2011,5,0.153544642857143,8,IEEE TRANS. PATTERN ANAL. MACH. INTELL.,2015,2.66666666666667,Post
True,A,2011,8,0.573183333333334,8,PLOS ONE,2012,1.33333333333333,Post
True,A,2011,3,0.568061403508772,8,NEUROCRIT. CARE,2013,1.6,Post
True,A,2011,1,0.352588709677419,9,DU BOIS REV.,2013,1.8,Post
True,A,2011,3,0.150342105263158,10,PATTERN RECOGNIT.,2013,2,Post
True,A,2011,1,0.395043859649123,15,J. MANUF. SCI. ENG.-TRANS. ASME,2014,3.75,Post
True,A,2011,3,0.53274609375,18,COMPUT. BIOL. MED.,2015,6,Post
True,A,2011,2,0.2327578125,22,J. NEUROPHYSIOL.,2012,3.66666666666667,Post
True,A,2011,3,0.32877,28,ENERGY RES. SOC. SCI.,2015,9.33333333333333,Post
True,A,2011,3,0.137725,41,SCI. CULT.,2013,8.2,Post
False,B,2007,9,0.282184210526316,0,CRYSTENGCOMM,2017,0,Post
False,B,2007,7,0.347645833333333,0,J. BIOMED. MATER. RES. PART A,2012,0,Post
False,B,2007,7,0,0,J. NEUROTRAUMA,2012,0,Post
False,B,2007,3,0,0,ABSTR. PAP. AM. CHEM. SOC.,2010,0,Post
False,B,2007,2,0.551983739837399,0,IEEE SENS. J.,2017,0,Post
False,B,2007,3,0,0,ABSTR. PAP. AM. CHEM. SOC.,2013,0,Post
False,B,2007,8,0,0,CANCER RES.,2014,0,Post
False,B,2007,6,0,0,FASEB J.,2011,0,Post
False,B,2007,6,0,0,J. NEUROTRAUMA,2011,0,Post
False,B,2007,8,0,0,J. NEUROTRAUMA,2012,0,Post
False,B,2007,4,0,0,J. NEUROTRAUMA,2011,0,Post
False,B,2007,7,0,0,J. NEUROTRAUMA,2011,0,Post
False,B,2007,5,0,0,J. NEUROTRAUMA,2012,0,Post
False,B,2007,6,0,0,ABSTR. PAP. AM. CHEM. SOC.,2013,0,Post
False,B,2007,4,0.249137195121951,0,J. PHYS. CHEM. LETT.,2017,0,Post
False,B,2007,6,0,0,CANCER RES.,2015,0,Post
False,B,2007,6,0.464625,0,INT. J. PHARM.,2016,0,Post
False,B,2007,7,0.588340740740741,0,J. NAT. PROD.,2017,0,Post
False,B,2007,3,0,0,J. NEUROTRAUMA,2008,0,Post
False,B,2007,4,0,0,J. NEUROTRAUMA,2012,0,Post
False,B,2007,7,0.575081632653061,0,J. POLYM. SCI. POL. CHEM.,2017,0,Post
False,B,2007,4,0.452259090909091,0,J. PHYS. CHEM. A,2012,0,Post
False,B,2007,3,0.394,0,INT. J. PHARM.,2017,0,Post
False,B,2007,4,0.450821428571429,0,AAPS PHARMSCITECH,2017,0,Post
False,B,2007,7,0.535084158415842,0,PHARM. RES.,2017,0,Post
False,B,2007,4,0,0,ABSTR. PAP. AM. CHEM. SOC.,2011,0,Post
False,B,2007,5,0,0,J. AM. COLL. SURG.,2014,0,Post
False,B,2007,5,0.571987341772152,0,ACS OMEGA,2017,0,Post
False,B,2007,9,0,0,J. NEUROTRAUMA,2012,0,Post
False,B,2007,2,0,0,FASEB J.,2010,0,Post
False,B,2007,7,0.822176056338028,0,BIOL. RES. NURS.,2016,0,Post
False,B,2007,5,0.557691666666667,0,BIOMED. MATER.,2015,0,Post
False,B,2007,7,0,0,FASEB J.,2010,0,Post
False,B,2007,13,0,0,FREE RADIC. BIOL. MED.,2017,0,Post
False,B,2007,4,0,0,J. NEUROTRAUMA,2012,0,Post
False,B,2007,6,0,0,J. NEUROTRAUMA,2017,0,Post
False,B,2007,6,0.621368686868687,0,ADV. HEALTHC. MATER.,2016,0,Post
False,B,2007,3,0,0,J. NEUROTRAUMA,2011,0,Post
False,B,2007,4,0.361709677419355,0,LANGMUIR,2017,0,Post
False,B,2007,7,0.571968421052632,0,J. BIOTECHNOL.,2017,0,Post
